transaction_id,account_id,trade_date,settlement_date,amount,margin_pct,status,source_system,region,product_type
100000000000000001,A1001,2026-01-03,2026-01-05,479606.16,0.0648,Rejected,GL,NA,Fixed Income
100000000000000002,A1002,2026-01-04,2026-01-06,552379.76,0.1886,Approved,TradeCapture,EMEA,Equity
100000000000000003,A1003,2026-01-05,2026-01-07,22444.93,0.1015,Approved,TradeCapture,NA,Derivative
100000000000000004,A1004,2026-01-06,2026-01-08,165408.42,0.1720,Approved,GL,APAC,Derivative
100000000000000005,A1005,2026-01-07,2026-01-09,,0.0895,Rejected,GL,NA,Derivative
100000000000000006,A1006,2026-01-08,2026-01-10,72627.61,0.2210,Rejected,GL,APAC,Derivative
100000000000000007,A1007,2026-01-09,2026-01-11,402217.45,0.2449,Review,GL,APAC,FX
100000000000000008,A1008,2026-01-10,2026-01-12,622070.56,0.1775,Rejected,TradeCapture,NA,Equity
100000000000000009,A1009,2026-01-11,2026-01-13,34463.71,0.1033,Rejected,GL,NA,Equity
100000000000000010,A1010,2026-01-12,2026-01-14,285156.66,0.1461,Pending ,GL,EMEA,FX
100000000000000011,A1011,2026-01-13,2026-01-15,157209.32,0.1107,Approved,TradeCapture,APAC,Fixed Income
100000000000000012,A1012,2026-01-14,2026-01-16,400651.49,0.1065,Review,Subledger,EMEA,Fixed Income
100000000000000013,A1013,2026-01-15,2026-01-17,513492.23,0.2201,Approved,GL,NA,FX
100000000000000014,A1014,2026-01-16,2026-01-18,300933.47,0.0726,Rejected,GL,APAC,Derivative
100000000000000015,A1015,bad-date,2026-01-19,296784.36,0.2338,Review,GL,EMEA,Fixed Income
100000000000000016,A1016,2026-01-18,2026-01-20,185045.97,0.1667,Rejected,TradeCapture,APAC,Derivative
100000000000000017,A1017,2026-01-19,2026-01-21,673377.38,0.1359,Pending,GL,APAC,Derivative
100000000000000018,A1018,2026-01-20,2026-01-22,68272.97,0.0690,Approved,GL,APAC,Fixed Income
100000000000000019,A1019,2026-01-21,2026-01-23,594080.32,0.1402,Approved,Subledger,EMEA,Derivative
100000000000000020,A1000,2026-01-22,2026-01-24,-250.00,0.2445,Approved,TradeCapture,APAC,Equity
100000000000000021,A1001,2026-01-23,2026-01-25,511314.61,0.1620,Rejected,TradeCapture,EMEA,Equity
100000000000000022,A1002,2026-01-24,2026-01-26,220195.75,0.0900,Approved,TradeCapture,APAC,FX
100000000000000023,A1003,2026-01-25,2026-01-27,728918.89,0.2048,Approved,TradeCapture,EMEA,Fixed Income
100000000000000024,A1004,2026-01-26,2026-01-28,114714.17,0.2049,Approved,TradeCapture,EMEA,Derivative
100000000000000025,A1005,2026-01-27,2026-01-29,2500000.00,0.2365,Rejected,GL,NA,Fixed Income
100000000000000026,A1006,2026-01-28,2026-01-30,658519.40,0.2399,Approved,TradeCapture,EMEA,Equity
100000000000000027,A1007,2026-01-29,2026-01-31,733490.57,0.1612,Pending,GL,APAC,Derivative
100000000000000028,A1008,2026-01-30,2026-02-01,710141.82,0.0914,Review,GL,APAC,Fixed Income
100000000000000029,A1009,2026-01-31,2026-02-02,534740.43,0.1358,Rejected,Subledger,APAC,Derivative
100000000000000030,A1010,2026-01-02,2026-01-04,90841.05,0.0300,Rejected,GL,APAC,Fixed Income
100000000000000031,A1011,2026-01-03,2026-01-05,441371.24,0.0614,Approved,GL,NA,Equity
100000000000000032,A1012,2026-01-04,2026-01-06,644740.59,0.0735,Pending,Subledger,APAC,Derivative
100000000000000033,A1013,2026-01-05,2026-01-07,160756.18,0.0851,Review,GL,EMEA,Derivative
100000000000000034,A1014,2026-01-06,2026-01-08,142888.39,0.0784,Review,Subledger,EMEA,Derivative
100000000000000034,A1015,2026-01-07,2026-01-09,350321.80,0.1985,Approved,GL,EMEA,FX
100000000000000036,A1016,2026-01-08,2026-01-10,600464.32,0.0808,Pending,GL,APAC,Derivative
100000000000000037,A1017,2026-01-09,2026-01-11,105222.70,0.0949,Review,GL,NA,Derivative
100000000000000038,A1018,2026-01-10,2026-01-12,606035.88,0.2226,Approved,GL,APAC,Equity
100000000000000039,A1019,2026-01-11,2026-01-13,726750.29,0.2360,Pending,GL,EMEA,Derivative
100000000000000039,A1019,2026-01-11,2026-01-13,726750.29,0.2360,Pending,GL,EMEA,Derivative
100000000000000041,A1001,2026-01-13,2026-01-15,738983.10,0.1104,Review,Subledger,EMEA,Derivative
100000000000000042,A1002,2026-01-14,2026-01-16,116182.14,0.1164,Approved,TradeCapture,APAC,Equity
100000000000000043,A1003,2026-01-15,2026-01-17,561006.87,0.0709,Review,TradeCapture,APAC,Fixed Income
100000000000000044,A1004,2026-01-16,2026-01-18,42754.00,0.1565,Pending,GL,APAC,Equity
100000000000000045,A1005,2026-01-17,2026-01-19,"1,250.50",0.1047,Approved,TradeCapture,NA,Equity
100000000000000046,A1006,2026-01-18,2026-01-20,464574.19,0.1397,Rejected,Subledger,NA,FX
100000000000000047,A1007,2026-01-19,2026-01-21,179090.60,0.1352,Rejected,Subledger,EMEA,Equity
100000000000000048,A1008,2026-01-20,2026-01-22,7085.66,0.1780,Approved,GL,APAC,Fixed Income
100000000000000049,A1009,2026-01-21,2026-01-23,379462.93,0.0852,Rejected,GL,NA,FX
100000000000000050,A1010,01/02/2026,2026-01-24,213812.04,0.1433,Rejected,TradeCapture,APAC,Equity
100000000000000051,A1011,2026-01-23,2026-01-25,500930.62,0.1654,Approved,GL,EMEA,Equity
100000000000000052,A1012,2026-01-24,2026-01-26,667295.56,0.2011,Pending,Subledger,EMEA,Fixed Income
100000000000000053,A1013,2026-01-25,2026-01-27,538237.38,0.0987,Rejected,TradeCapture,EMEA,FX
100000000000000054,A1014,2026-01-26,2026-01-28,679011.83,0.2208,Approved,TradeCapture,EMEA,FX
100000000000000055,A1015,45392,2026-01-29,33160.66,0.1234,Pending,TradeCapture,EMEA,Fixed Income
100000000000000056,A1016,2026-01-28,2026-01-30,555949.06,0.1648,Review,TradeCapture,NA,Equity
100000000000000057,A1017,2026-01-29,2026-01-31,56525.37,0.2278,Pending,TradeCapture,NA,FX
100000000000000058,A1018,2026-01-30,2026-02-01,436923.92,0.0881,Pending,GL,EMEA,FX
100000000000000059,A1019,2026-01-31,2026-02-02,674246.22,0.2113,Approved,Subledger,NA,Fixed Income
100000000000000060,A1000,2026-01-02,2026-01-04,500233.36,0.1272,Review,,APAC,Fixed Income
